interval,event,terminal,terminal_name,attached_switch,peer_terminal,gbit
0,trace_offer,14,S45.0,7,0,100
0,trace_offer,75,S32.1,37,0,100
0,trace_offer,27,S40.1,13,0,100
0,trace_offer,113,S36.1,56,0,100
0,trace_offer,61,S14.1,30,0,100
0,trace_offer,55,S09.1,27,0,100
0,trace_offer,21,S61.1,10,0,100
0,trace_offer,72,S18.0,36,0,100
0,send,72,S18.0,36,0,52.6033
0,send,27,S40.1,13,0,80.8761
0,send,75,S32.1,37,0,52.224
0,send,61,S14.1,30,0,100
0,send,55,S09.1,27,0,100
0,send,113,S36.1,56,0,100
0,send,21,S61.1,10,0,80.6921
0,send,14,S45.0,7,0,100
1,trace_offer,113,S36.1,56,0,100
1,trace_offer,72,S18.0,36,0,100
1,trace_offer,61,S14.1,30,0,100
1,trace_offer,75,S32.1,37,0,100
1,trace_offer,27,S40.1,13,0,100
1,trace_offer,14,S45.0,7,0,100
1,trace_offer,21,S61.1,10,0,100
1,trace_offer,55,S09.1,27,0,100
1,send,55,S09.1,27,0,100
1,send,75,S32.1,37,0,51.655
1,send,61,S14.1,30,0,100
1,send,72,S18.0,36,0,51.655
1,send,27,S40.1,13,0,79.864
1,send,14,S45.0,7,0,100
1,send,113,S36.1,56,0,100
1,send,21,S61.1,10,0,79.864
2,trace_offer,55,S09.1,27,0,100
2,trace_offer,113,S36.1,56,0,100
2,trace_offer,14,S45.0,7,0,100
2,trace_offer,27,S40.1,13,0,100
2,trace_offer,75,S32.1,37,0,100
2,trace_offer,61,S14.1,30,0,100
2,trace_offer,21,S61.1,10,0,100
2,trace_offer,72,S18.0,36,0,100
2,send,21,S61.1,10,0,79.864
2,send,14,S45.0,7,0,100
2,send,113,S36.1,56,0,100
2,send,55,S09.1,27,0,100
2,send,72,S18.0,36,0,51.655
2,send,61,S14.1,30,0,100
2,send,27,S40.1,13,0,79.864
2,send,75,S32.1,37,0,51.655
3,trace_offer,61,S14.1,30,0,100
3,trace_offer,72,S18.0,36,0,100
3,trace_offer,113,S36.1,56,0,100
3,trace_offer,55,S09.1,27,0,100
3,trace_offer,27,S40.1,13,0,100
3,trace_offer,14,S45.0,7,0,100
3,trace_offer,21,S61.1,10,0,100
3,trace_offer,75,S32.1,37,0,100
3,receive,0,S00.0,0,75,52.224
3,send,55,S09.1,27,0,100
3,send,61,S14.1,30,0,100
3,send,21,S61.1,10,0,79.864
3,send,75,S32.1,37,0,51.655
3,send,72,S18.0,36,0,51.655
3,send,113,S36.1,56,0,100
3,send,14,S45.0,7,0,100
3,send,27,S40.1,13,0,79.864
4,trace_offer,75,S32.1,37,0,100
4,trace_offer,27,S40.1,13,0,100
4,trace_offer,21,S61.1,10,0,100
4,trace_offer,61,S14.1,30,0,100
4,trace_offer,55,S09.1,27,0,100
4,trace_offer,72,S18.0,36,0,100
4,trace_offer,113,S36.1,56,0,100
4,trace_offer,14,S45.0,7,0,100
4,receive,0,S00.0,0,21,80.6921
4,receive,0,S00.0,0,113,100
4,receive,0,S00.0,0,75,51.655
4,send,75,S32.1,37,0,51.655
4,send,27,S40.1,13,0,79.864
4,send,61,S14.1,30,0,100
4,send,21,S61.1,10,0,79.864
4,send,55,S09.1,27,0,100
4,send,113,S36.1,56,0,100
4,send,72,S18.0,36,0,51.655
4,send,14,S45.0,7,0,100
5,trace_offer,55,S09.1,27,0,100
5,trace_offer,61,S14.1,30,0,100
5,trace_offer,14,S45.0,7,0,100
5,trace_offer,75,S32.1,37,0,100
5,trace_offer,27,S40.1,13,0,100
5,trace_offer,113,S36.1,56,0,100
5,trace_offer,72,S18.0,36,0,100
5,trace_offer,21,S61.1,10,0,100
5,receive,0,S00.0,0,72,51.655
5,receive,0,S00.0,0,21,79.864
5,receive,0,S00.0,0,113,100
5,receive,0,S00.0,0,27,79.864
5,receive,0,S00.0,0,75,51.655
5,receive,0,S00.0,0,61,100
5,send,55,S09.1,27,0,100
5,send,75,S32.1,37,0,51.655
5,send,14,S45.0,7,0,100
5,send,61,S14.1,30,0,100
5,send,21,S61.1,10,0,79.864
5,send,113,S36.1,56,0,100
5,send,72,S18.0,36,0,51.655
5,send,27,S40.1,13,0,79.864
6,trace_offer,61,S14.1,30,0,100
6,trace_offer,72,S18.0,36,0,100
6,trace_offer,14,S45.0,7,0,100
6,trace_offer,75,S32.1,37,0,100
6,trace_offer,21,S61.1,10,0,100
6,trace_offer,55,S09.1,27,0,100
6,trace_offer,27,S40.1,13,0,100
6,trace_offer,113,S36.1,56,0,100
6,receive,0,S00.0,0,61,100
6,receive,0,S00.0,0,27,80.3701
6,receive,0,S00.0,0,75,51.1808
6,receive,0,S00.0,0,72,52.1292
6,receive,0,S00.0,0,113,100
6,receive,0,S00.0,0,21,79.3579
6,send,61,S14.1,30,0,100
6,send,75,S32.1,37,0,51.655
6,send,113,S36.1,56,0,100
6,send,72,S18.0,36,0,51.655
6,send,55,S09.1,27,0,100
6,send,14,S45.0,7,0,100
6,send,27,S40.1,13,0,79.864
6,send,21,S61.1,10,0,79.864
7,trace_offer,75,S32.1,37,0,100
7,trace_offer,61,S14.1,30,0,100
7,trace_offer,113,S36.1,56,0,100
7,trace_offer,27,S40.1,13,0,100
7,trace_offer,21,S61.1,10,0,100
7,trace_offer,55,S09.1,27,0,100
7,trace_offer,72,S18.0,36,0,100
7,trace_offer,14,S45.0,7,0,100
7,receive,0,S00.0,0,55,100
7,receive,0,S00.0,0,72,51.655
7,receive,0,S00.0,0,21,79.864
7,receive,0,S00.0,0,113,100
7,receive,0,S00.0,0,75,51.655
7,receive,0,S00.0,0,27,79.864
7,receive,0,S00.0,0,61,100
7,receive,0,S00.0,0,14,100
7,send,113,S36.1,56,0,100
7,send,61,S14.1,30,0,100
7,send,27,S40.1,13,0,79.864
7,send,55,S09.1,27,0,100
7,send,14,S45.0,7,0,100
7,send,75,S32.1,37,0,51.655
7,send,72,S18.0,36,0,51.655
7,send,21,S61.1,10,0,79.864
8,trace_offer,27,S40.1,13,0,100
8,trace_offer,72,S18.0,36,0,100
8,trace_offer,61,S14.1,30,0,100
8,trace_offer,75,S32.1,37,0,100
8,trace_offer,113,S36.1,56,0,100
8,trace_offer,21,S61.1,10,0,100
8,trace_offer,55,S09.1,27,0,100
8,trace_offer,14,S45.0,7,0,100
8,receive,0,S00.0,0,113,100
8,receive,0,S00.0,0,55,100
8,receive,0,S00.0,0,61,100
8,receive,0,S00.0,0,21,79.864
8,receive,0,S00.0,0,75,51.655
8,receive,0,S00.0,0,27,79.864
8,receive,0,S00.0,0,14,100
8,receive,0,S00.0,0,72,51.655
8,send,72,S18.0,36,0,51.655
8,send,14,S45.0,7,0,100
8,send,61,S14.1,30,0,100
8,send,55,S09.1,27,0,100
8,send,27,S40.1,13,0,79.864
8,send,21,S61.1,10,0,79.864
8,send,75,S32.1,37,0,51.655
8,send,113,S36.1,56,0,100
9,trace_offer,14,S45.0,7,0,100
9,trace_offer,55,S09.1,27,0,100
9,trace_offer,72,S18.0,36,0,100
9,trace_offer,75,S32.1,37,0,100
9,trace_offer,61,S14.1,30,0,100
9,trace_offer,21,S61.1,10,0,100
9,trace_offer,27,S40.1,13,0,100
9,trace_offer,113,S36.1,56,0,100
9,receive,0,S00.0,0,113,100
9,receive,0,S00.0,0,55,100
9,receive,0,S00.0,0,14,100
9,receive,0,S00.0,0,72,51.655
9,receive,0,S00.0,0,27,79.864
9,receive,0,S00.0,0,75,51.655
9,receive,0,S00.0,0,61,100
9,receive,0,S00.0,0,21,79.864
9,send,21,S61.1,10,0,79.864
9,send,61,S14.1,30,0,100
9,send,75,S32.1,37,0,51.655
9,send,55,S09.1,27,0,100
9,send,72,S18.0,36,0,51.655
9,send,27,S40.1,13,0,79.864
9,send,113,S36.1,56,0,100
9,send,14,S45.0,7,0,100
10,trace_offer,14,S45.0,7,0,100
10,trace_offer,113,S36.1,56,0,100
10,trace_offer,27,S40.1,13,0,100
10,trace_offer,72,S18.0,36,0,100
10,trace_offer,75,S32.1,37,0,100
10,trace_offer,55,S09.1,27,0,100
10,trace_offer,21,S61.1,10,0,100
10,trace_offer,61,S14.1,30,0,100
10,receive,0,S00.0,0,27,79.864
10,receive,0,S00.0,0,21,79.864
10,receive,0,S00.0,0,61,100
10,receive,0,S00.0,0,113,100
10,receive,0,S00.0,0,75,51.655
10,receive,0,S00.0,0,55,100
10,receive,0,S00.0,0,14,100
10,receive,0,S00.0,0,72,51.655
10,send,21,S61.1,10,0,79.864
10,send,61,S14.1,30,0,100
10,send,27,S40.1,13,0,79.864
10,send,72,S18.0,36,0,51.655
10,send,14,S45.0,7,0,100
10,send,55,S09.1,27,0,100
10,send,113,S36.1,56,0,100
10,send,75,S32.1,37,0,51.655
11,trace_offer,21,S61.1,10,0,100
11,trace_offer,27,S40.1,13,0,100
11,trace_offer,75,S32.1,37,0,100
11,trace_offer,72,S18.0,36,0,100
11,trace_offer,113,S36.1,56,0,100
11,trace_offer,14,S45.0,7,0,100
11,trace_offer,61,S14.1,30,0,100
11,trace_offer,55,S09.1,27,0,100
11,receive,0,S00.0,0,75,51.655
11,receive,0,S00.0,0,27,79.864
11,receive,0,S00.0,0,21,79.864
11,receive,0,S00.0,0,14,100
11,receive,0,S00.0,0,72,51.655
11,receive,0,S00.0,0,61,100
11,receive,0,S00.0,0,113,100
11,receive,0,S00.0,0,55,100
11,send,75,S32.1,37,0,51.655
11,send,61,S14.1,30,0,100
11,send,27,S40.1,13,0,79.864
11,send,21,S61.1,10,0,79.864
11,send,14,S45.0,7,0,100
11,send,72,S18.0,36,0,51.655
11,send,55,S09.1,27,0,100
11,send,113,S36.1,56,0,100
12,trace_offer,61,S14.1,30,0,100
12,trace_offer,21,S61.1,10,0,100
12,trace_offer,27,S40.1,13,0,100
12,trace_offer,14,S45.0,7,0,100
12,trace_offer,113,S36.1,56,0,100
12,trace_offer,55,S09.1,27,0,100
12,trace_offer,72,S18.0,36,0,100
12,trace_offer,75,S32.1,37,0,100
12,receive,0,S00.0,0,72,51.655
12,receive,0,S00.0,0,55,100
12,receive,0,S00.0,0,21,79.864
12,receive,0,S00.0,0,113,100
12,receive,0,S00.0,0,27,79.864
12,receive,0,S00.0,0,75,51.655
12,receive,0,S00.0,0,61,100
12,receive,0,S00.0,0,14,100
12,send,113,S36.1,56,0,100
12,send,61,S14.1,30,0,100
12,send,55,S09.1,27,0,100
